#MODEL NO, nViolations (if distances<=2.75) 
1622, 69
1623, 85
1624, 150
1625, 75
1626, 74
1627, 100
1628, 149
1629, 95
1630, 129
1631, 131
1632, 109
1633, 125
1634, 133
1635, 127
1636, 83
1637, 78
1638, 119
1639, 191
1640, 93
1641, 202
1642, 143
1643, 200
1644, 28
1645, 175
1646, 141
1647, 22
1648, 134
1649, 19
1650, 7
1651, 6
1652, 6
1653, 3
1654, 27
1655, 171
1656, 167
1657, 163
1658, 85
1659, 23
1660, 195
1661, 157
1662, 168
1663, 37
1664, 58
1665, 33
1666, 41
1667, 42
1668, 23
1669, 28
1670, 23
1671, 106
1672, 91
1673, 33
1674, 82
1675, 34
1676, 76
1677, 83
1678, 199
1679, 154
1680, 75
1681, 78
1682, 210
1683, 184
1684, 109
1685, 137
1686, 169
1687, 147
1688, 196
1689, 151
1690, 117
1691, 184
1692, 166
1693, 159
1694, 87
1695, 74
1696, 147
1697, 81
1698, 79
1699, 83
1700, 92
1701, 21
1702, 24
1703, 38
1704, 89
1705, 84
1706, 177
1707, 68
1708, 171
1709, 70
1710, 165
1711, 158
1712, 50
1713, 118
1714, 49
1715, 205
1716, 158
1717, 47
1718, 126
1719, 110
1720, 182
1721, 145
1722, 175
1723, 105
1724, 181
1725, 121
1726, 143
1727, 148
1728, 60
1729, 50
1730, 77
1731, 28
1732, 156
1733, 142
1734, 62
1735, 153
1736, 165
1737, 169
1738, 135
1739, 62
1740, 59
1741, 45
1742, 91
1743, 32
1744, 70
1745, 68
1746, 94
1747, 70
1748, 37
1749, 166
1750, 24
1751, 39
1752, 45
1753, 71
1754, 30
1755, 38
1756, 69
1757, 54
1758, 166
1759, 71
1760, 65
1761, 94
1762, 117
1763, 73
1764, 106
1765, 220
1766, 204
1767, 220
1768, 170
1769, 219
1770, 182
1771, 202
1772, 145
1773, 150
1774, 199
1775, 75
1776, 171
1777, 73
1778, 68
1779, 36
1780, 120
1781, 122
1782, 104
1783, 34
1784, 29
1785, 123
1786, 33
1787, 83
1788, 154
1789, 87
1790, 32
1791, 130
1792, 98
1793, 71
1794, 198
1795, 96
1796, 44
1797, 48
1798, 58
1799, 47
1800, 16
1801, 8
1802, 45
1803, 94
1804, 99
1805, 73
1806, 85
1807, 72
1808, 100
1809, 108
1810, 111
1811, 77
1812, 176
1813, 218
1814, 141
1815, 187
1816, 143
1817, 167
1818, 29
1819, 22
1820, 16
1821, 28
1822, 37
1823, 31
1824, 58
1825, 20
1826, 111
1827, 127
1828, 69
1829, 70
1830, 153
1831, 15
1832, 67
1833, 5
1834, 112
1835, 102
1836, 73
1837, 61
1838, 82
1839, 63
1840, 57
1841, 78
1842, 184
1843, 146
1844, 167
1845, 61
1846, 31
1847, 32
1848, 23
1849, 30
1850, 176
1851, 40
1852, 61
1853, 115
1854, 145
1855, 144
1856, 163
1857, 13
1858, 3
1859, 60
1860, 1
1861, 32
1862, 7
1863, 122
1864, 51
1865, 186
1866, 134
1867, 109
1868, 147
1869, 77
1870, 76
1871, 93
1872, 83
1873, 90
1874, 145
1875, 127
1876, 120
1877, 130
1878, 125
1879, 40
1880, 71
1881, 17
1882, 20
1883, 34
1884, 17
1885, 32
1886, 39
1887, 39
1888, 65
1889, 170
1890, 29
1891, 67
1892, 184
1893, 85
1894, 6
1895, 10
1896, 70
1897, 144
1898, 144
1899, 53
1900, 99
1901, 198
1902, 124
1903, 156
1904, 157
1905, 147
1906, 199
1907, 151
1908, 162
1909, 196
1910, 159
1911, 167
1912, 141
1913, 107
1914, 60
1915, 30
1916, 134
1917, 159
1918, 93
1919, 156
1920, 88
1921, 68
1922, 48
1923, 77
1924, 76
1925, 82
1926, 69
1927, 73
1928, 62
1929, 84
1930, 170
1931, 114
1932, 169
1933, 165
1934, 34
1935, 52
1936, 199
1937, 176
1938, 172
1939, 76
1940, 20
1941, 111
1942, 145
1943, 19
1944, 38
1945, 45
1946, 144
1947, 166
1948, 157
1949, 23
1950, 35
1951, 42
1952, 42
1953, 62
1954, 42
1955, 36
1956, 44
1957, 49
1958, 55
1959, 95
1960, 77
1961, 120
1962, 183
1963, 169
1964, 159
1965, 132
1966, 196
1967, 141
1968, 45
1969, 108
1970, 87
1971, 107
1972, 45
1973, 78
1974, 203
1975, 218
1976, 172
1977, 123
1978, 53
1979, 134
1980, 136
1981, 74
1982, 54
1983, 72
1984, 65
1985, 68
1986, 59
1987, 59
1988, 58
1989, 81
1990, 34
1991, 75
1992, 178
1993, 30
1994, 27
1995, 53
1996, 144
1997, 119
1998, 68
1999, 151
